Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post167,Moda,Foto,7/24/2021,4324,69,0,0,7,27,23,4,0,4410,2946,1108,0,285,2,2
post168,Influencer,Carrossel,7/25/2021,9791,402,6,5,33,159,135,24,0,11516,9418,859,0,1205,12,16
post169,AA,Foto,7/26/2021,3521,51,12,4,4,25,22,3,0,3748,2892,609,0,146,11,0
post170,Moda,Carrossel,7/27/2021,6100,184,10,0,15,65,52,13,0,7628,6721,565,0,318,5,0
post171,Institucional,Foto,7/27/2021,2427,23,0,0,0,50,33,17,0,2548,1779,670,0,670,5,0
post172,Influencer,Carrossel,7/28/2021,6051,255,4,3,25,73,66,7,0,7246,5966,705,0,552,14,10
post173,Moda,Carrossel,7/29/2021,8248,252,4,3,10,101,82,19,0,10004,8657,517,0,825,6,8
post174,Marca,Carrossel,7/30/2021,4655,182,4,3,13,81,64,17,0,5909,5154,454,0,288,6,4
post175,Influencer,Reels,7/30/2021,2431,53,0,1,7,0,0,0,0,2431,,,,,,
post176,Marca,Foto,7/31/2021,3428,72,0,0,2,37,30,7,0,3853,3302,350,0,129,4,0
post177,Institucional,Carrossel,8/1/2021,9235,278,3,6,33,116,94,22,0,11452,10047,818,0,564,17,2
post178,AA,Foto,8/2/2021,5159,58,11,2,9,20,16,4,0,5166,4361,738,63,0,4,0
post179,Influencer,Foto,8/3/2021,11879,459,9,6,36,154,128,25,1,12546,9728,0,1011,1016,21,20
post180,Marca,Video,8/3/2021,2454,33,3,1,0,12,10,2,0,2572,1889,576,0,90,16,2
post181,Moda,Carrossel,8/4/2021,4724,86,9,2,8,20,18,2,0,5518,5038,469,0,4,6,0
post182,Moda,Carrossel,8/4/2021,2796,64,2,2,10,22,17,5,0,3422,2740,517,0,157,6,0
post183,Moda,Foto,8/5/2021,2942,42,9,1,5,25,22,3,0,2982,2153,470,0,312,6,2
post184,Influencer,Carrossel,8/5/2021,2704,83,4,1,9,24,20,4,0,3199,2631,389,0,170,9,4
post185,Institucional,Carrossel,8/6/2021,15202,280,11,10,24,204,157,47,0,18492,17651,247,0,573,13,0
post186,Marca,Video,8/7/2021,1787,19,0,0,0,8,8,0,0,1837,1497,215,0,101,23,2
post187,Marca,Foto,8/7/2021,3099,31,0,0,3,22,18,4,0,3205,2576,206,0,353,3,0
post188,Influencer,Reels,8/8/2021,10526,174,6,2,6,0,0,0,0,10515,0,0,0,0,0,0
post189,Institucional,Carrossel,8/9/2021,7481,131,10,1,11,122,94,28,0,9281,8562,583,0,129,2,0
post190,Influencer,Carrossel,8/9/2021,3776,97,6,1,10,38,30,8,0,4446,3183,1008,0,239,14,0
post191,Institucional,Carrossel,8/9/2021,2892,32,4,0,1,19,16,3,0,3594,2838,708,0,42,3,0
post192,Institucional,Carrossel,8/10/2021,8837,249,6,14,29,157,124,33,0,10636,9217,981,0,406,15,6
post193,Moda,Carrossel,8/10/2021,4120,94,0,0,5,44,33,11,0,4999,4098,696,0,197,7,0
post194,AA,Foto,8/11/2021,2674,44,0,1,3,9,8,1,0,2773,2007,576,0,172,5,2
post195,Marca,Video,8/11/2021,2055,24,0,7,0,18,11,7,0,2172,1200,645,0,275,50,2
post196,Moda,Carrossel,8/12/2021,3538,78,0,2,14,50,47,3,0,4316,3233,718,0,361,4,2
post197,Institucional,Video,8/12/2021,3532,102,25,5,4,68,53,15,0,3820,2731,634,0,205,250,2
post198,Influencer,Foto,8/13/2021,4315,119,0,0,7,41,39,2,0,4518,3509,574,0,374,10,6
post199,Institucional,Foto,8/13/2021,2344,18,0,0,1,15,13,2,0,2473,1688,585,0,171,2,0
post200,Marca,Foto,8/14/2021,6482,119,4,6,8,85,69,16,0,6723,5225,633,0,688,11,6
post201,AA,Foto,8/14/2021,5305,54,6,0,0,65,57,8,0,5505,4846,487,100,0,3,0
post202,Marca,Carrossel,8/15/2021,12009,415,4,12,64,147,125,22,0,16095,11107,3572,0,1339,34,8
post203,Institucional,Carrossel,8/16/2021,5941,148,0,2,20,61,64,8,0,7924,5429,1806,0,672,12,0
post204,Institucional,Foto,8/16/2021,4859,84,0,1,5,20,17,3,0,6388,3322,2553,0,482,3,2
post205,Influencer,Reels,8/17/2021,5228,103,2,3,7,0,0,0,0,0,0,0,0,0,0,0
post206,Institucional,Video,8/17/2021,2678,38,0,0,2,31,24,7,0,0,0,0,0,0,0,0
post207,Influencer,Carrossel,8/18/2021,5512,260,2,5,31,59,51,8,0,7365,4612,2187,0,537,25,4
post208,AA,Foto,8/19/2021,8535,230,14,6,9,103,90,13,0,10289,7333,1710,0,862,28,6
post209,Institucional,Carrossel,8/20/2021,16607,641,18,32,97,270,235,34,1,23244,21245,1851,107,0,28,2
post210,Influencer,Reels,8/20/2021,2815,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0
post211,Institucional,Carrossel,8/21/2021,7742,271,2,6,30,82,76,6,0,10373,7562,1916,0,872,21,4
post212,Marca,Foto,8/21/2021,2711,45,0,1,7,14,8,6,0,4030,2231,1646,0,84,13,2
post213,Influencer,Carrossel,8/22/2021,6704,221,5,1,19,77,64,13,0,8862,6627,1882,0,302,17,2
post214,Institucional,Carrossel,8/22/2021,3450,35,0,0,1,27,22,5,0,4805,2983,1725,0,89,4,0
post215,AA,Foto,8/23/2021,8667,170,10,8,13,35,31,4,0,9625,6954,1519,0,913,17,0
post216,Institucional,Carrossel,8/23/2021,2637,59,0,0,4,5,4,1,0,3830,2076,1569,0,168,16,0
post217,Influencer,Foto,8/24/2021,12271,382,4,4,24,142,131,11,0,13827,8899,1821,0,1933,25,8
post218,Moda,Foto,8/24/2021,5661,131,6,1,17,49,47,2,0,6693,2674,2082,0,2082,16,8
post219,Institucional,Foto,8/25/2021,3090,19,4,0,1,8,8,0,0,4043,2254,1669,0,110,8,2
post220,Moda,Carrossel,8/25/2021,2776,63,4,2,6,21,19,2,0,4114,2267,1724,0,100,20,4
post221,Influencer,Reels,8/26/2021,5547,168,5,3,14,0,0,0,0,0,0,0,0,0,0,0
post222,Institucional,Foto,8/27/2021,14015,661,10,8,44,382,352,30,0,16086,11369,2091,2220,0,118,66
post223,Moda,Carrossel,8/27/2021,5480,187,12,6,31,53,48,5,0,7456,5095,2055,0,273,23,0
post224,Institucional,Foto,8/28/2021,5946,64,4,0,0,51,43,8,0,7155,4932,1887,0,248,2,0
post225,Institucional,Video,8/28/2021,3289,31,0,0,8,26,18,8,0,0,0,0,0,0,0,0
post226,Moda,Carrossel,8/29/2021,17042,527,10,12,79,179,159,20,0,2084,17548,2427,0,619,27,10
post227,AA,Foto,8/30/2021,13376,475,30,24,36,81,74,7,0,13945,10770,1568,1288,0,118,2
post228,Influencer,Carrossel,8/31/2021,3954,87,2,3,10,41,31,10,0,4486,2711,1115,0,646,11,0
post229,Institucional,Foto,8/31/2021,3672,32,5,0,5,35,30,5,0,3850,2704,997,0,69,38,0
post230,Influencer,Carrossel,9/1/2021,25155,983,24,8,69,287,243,44,0,29263,26004,905,0,2188,30,2
post231,Influencer,Carrossel,9/1/2021,3381,89,9,4,12,30,28,2,0,4054,2922,1044,0,54,31,2
post232,Moda,Carrossel,9/2/2021,8315,122,0,3,10,52,43,9,0,9247,8274,888,0,74,10,0
post233,Influencer,Video,9/2/2021,3450,89,4,0,7,49,43,6,0,3953,2610,937,0,306,12,0
post234,Marca,Foto,9/3/2021,9976,427,4,11,61,125,111,14,0,10207,8192,1130,738,0,19,6
post235,Influencer,Foto,9/3/2021,7131,154,4,2,11,56,48,8,0,7609,5842,1112,0,449,16,4
post236,Marca,Foto,9/4/2021,5538,107,0,0,11,51,43,8,0,5861,4080,809,0,910,13,2
post237,AA,carrossel,9/1/2021,25155,983,24,8,69,287,243,44,0,29263,26004,905,0,2188,30,2
post238,Foto de lookbook,carrossel,9/1/2021,3381,89,9,4,12,30,28,2,0,4054,2922,1044,0,54,31,2
post239,Foto de lookbook,carrossel,9/2/2021,8315,122,0,3,10,52,43,9,0,9247,8274,888,0,74,10,0
post240,Influencer,Video/Gif,9/2/2021,3450,89,4,0,7,49,43,6,0,3953,2610,937,0,306,12,0
post241,AA,foto,9/3/2021,9976,427,4,11,61,125,111,14,0,10207,8192,1130,738,0,19,6
post242,Influencer,foto,9/3/2021,7131,154,4,2,11,56,48,8,0,7609,5842,1112,0,449,16,4
